"Muni_ID","ID","Muni","bean","chickpea","other_pulses","total"
1601,"1111601","Arcos de Valdevez",126.56,0,0,126.56
1602,"1111602","Caminha",14.89,0,3.85,18.74
1603,"1111603","Melgaço",18.61,0,0,18.61
1604,"1111604","Monção",74.45,0,3.85,78.3
1605,"1111605","Paredes de Coura",26.06,0,0,26.06
1606,"1111606","Ponte da Barca",70.73,0,3.85,74.58
1607,"1111607","Ponte de Lima",174.95,0,50.04,224.99
1608,"1111608","Valença",11.17,0,3.85,15.02
1609,"1111609","Viana do Castelo",52.11,0,11.55,63.66
1610,"1111610","Vila Nova de Cerveira",18.61,0,0,18.61
301,"1120301","Amares",14.89,0,15.4,30.29
302,"1120302","Barcelos",37.22,0,19.25,56.47
303,"1120303","Braga",11.17,0,3.85,15.02
306,"1120306","Esposende",18.61,0,0,18.61
310,"1120310","Terras de Bouro",44.67,0,3.85,48.52
313,"1120313","Vila Verde",119.12,0,26.95,146.07
307,"1130307","Fafe",141.45,0,0,141.45
308,"1130308","Guimarães",40.95,0,3.85,44.8
309,"1130309","Póvoa de Lanhoso",44.67,0,3.85,48.52
1314,"1131314","Santo Tirso",18.61,0,0,18.61
1318,"1131318","Trofa",3.72,0,0,3.72
311,"1130311","Vieira do Minho",74.45,0,0,74.45
312,"1130312","Vila Nova de Famalicão",7.44,0,26.95,34.39
314,"1130314","Vizela",0,0,3.85,3.85
107,"1140107","Espinho",3.72,0,0,3.72
1304,"1141304","Gondomar",18.61,0,3.85,22.46
1306,"1141306","Maia",3.72,0,0,3.72
1308,"1141308","Matosinhos",0,0,0,0
1312,"1141312","Porto",0,0,0,0
1313,"1141313","Póvoa de Varzim",11.17,0,0,11.17
1315,"1141315","Valongo",3.72,0,0,3.72
1316,"1141316","Vila do Conde",3.72,0,0,3.72
1317,"1141317","Vila Nova de Gaia",26.06,0,11.55,37.61
1301,"1151301","Amarante",297.79,0,3.85,301.64
1302,"1151302","Baião",256.85,0,0,256.85
304,"1150304","Cabeceiras de Basto",44.67,0,3.85,48.52
106,"1150106","Castelo de Paiva",96.78,0,3.85,100.63
305,"1150305","Celorico de Basto",193.56,0,3.85,197.41
1804,"1151804","Cinfães",63.28,0,0,63.28
1303,"1151303","Felgueiras",52.11,0,3.85,55.96
1305,"1151305","Lousada",26.06,0,3.85,29.91
1307,"1151307","Marco de Canaveses",245.68,0,3.85,249.53
1705,"1151705","Mondim de Basto",104.23,0,0,104.23
1309,"1151309","Paços de Ferreira",26.06,0,0,26.06
1310,"1151310","Paredes",29.78,0,3.85,33.63
1311,"1151311","Penafiel",18.61,0,3.85,22.46
1813,"1151813","Resende",22.33,0,0,22.33
1709,"1151709","Ribeira de Pena",33.5,0,0,33.5
104,"1160104","Arouca",18.61,0,0,18.61
113,"1160113","Oliveira de Azeméis",3.72,0,3.85,7.57
109,"1160109","Santa Maria da Feira",52.11,0,3.85,55.96
116,"1160116","São João da Madeira",0,0,0,0
119,"1160119","Vale de Cambra",52.11,0,0,52.11
1701,"1171701","Alijó",11.63,0,0,11.63
1801,"1171801","Armamar",5.82,0,0,5.82
403,"1170403","Carrazeda de Ansiães",11.63,0,6.08,17.71
404,"1170404","Freixo de Espada à Cinta",5.82,0,0,5.82
1805,"1171805","Lamego",17.45,0,0,17.45
1704,"1171704","Mesão Frio",0,0,0,0
1807,"1171807","Moimenta da Beira",11.63,6.4,6.08,24.11
1812,"1171812","Penedono",5.82,0,0,5.82
1708,"1171708","Peso da Régua",5.82,0,0,5.82
1710,"1171710","Sabrosa",5.82,0,6.08,11.9
1711,"1171711","Santa Marta de Penaguião",0,0,0,0
1815,"1171815","São João da Pesqueira",0,0,0,0
1818,"1171818","Sernancelhe",52.35,12.79,0,65.14
1819,"1171819","Tabuaço",34.9,6.4,0,41.3
1820,"1171820","Tarouca",11.63,0,0,11.63
409,"1170409","Torre de Moncorvo",17.45,0,6.08,23.53
410,"1170410","Vila Flor",5.82,0,0,5.82
914,"1170914","Vila Nova de Foz Côa",0,0,6.08,6.08
1714,"1171714","Vila Real",98.89,0,12.16,111.05
401,"1180401","Alfândega da Fé",0,0,6.08,6.08
1702,"1181702","Boticas",0,0,0,0
402,"1180402","Bragança",11.63,12.79,18.24,42.66
1703,"1181703","Chaves",63.98,6.4,12.16,82.54
405,"1180405","Macedo de Cavaleiros",23.27,19.19,24.32,66.78
406,"1180406","Miranda do Douro",0,12.79,139.81,152.6
407,"1180407","Mirandela",23.27,12.79,48.63,84.69
408,"1180408","Mogadouro",23.27,63.97,267.47,354.71
1706,"1181706","Montalegre",11.63,0,0,11.63
1707,"1181707","Murça",40.72,0,0,40.72
1712,"1181712","Valpaços",52.35,6.4,12.16,70.91
1713,"1181713","Vila Pouca de Aguiar",40.72,0,0,40.72
411,"1180411","Vimioso",23.27,25.59,60.79,109.65
412,"1180412","Vinhais",5.82,0,6.08,11.9
101,"1610101","Águeda",26.31,0,10.94,37.25
102,"1610102","Albergaria-a-Velha",26.31,0,5.47,31.78
103,"1610103","Anadia",10.52,0,38.28,48.8
105,"1610105","Aveiro",94.72,0,10.94,105.66
108,"1610108","Estarreja",10.52,0,10.94,21.46
110,"1610110","Ílhavo",10.52,0,0,10.52
111,"1610111","Mealhada",10.52,0,5.47,15.99
112,"1610112","Murtosa",5.26,0,0,5.26
114,"1610114","Oliveira do Bairro",15.79,0,5.47,21.26
115,"1610115","Ovar",5.26,0,0,5.26
117,"1610117","Sever do Vouga",26.31,0,0,26.31
118,"1610118","Vagos",57.89,0,16.41,74.3
602,"1620602","Cantanhede",115.77,5.86,60.16,181.79
603,"1620603","Coimbra",15.79,5.86,76.57,98.22
604,"1620604","Condeixa-a-Nova",47.36,5.86,43.75,96.97
605,"1620605","Figueira da Foz",57.89,0,43.75,101.64
608,"1620608","Mira",26.31,0,5.47,31.78
610,"1620610","Montemor-o-Velho",73.67,0,43.75,117.42
613,"1620613","Penacova",47.36,5.86,21.88,75.1
615,"1620615","Soure",47.36,5.86,60.16,113.38
1004,"1631004","Batalha",15.79,5.86,21.88,43.53
1009,"1631009","Leiria",136.82,5.86,82.04,224.72
1010,"1631010","Marinha Grande",5.26,0,5.47,10.73
1015,"1631015","Pombal",163.13,29.3,218.76,411.19
1016,"1631016","Porto de Mós",26.31,5.86,27.35,59.52
1002,"1641002","Alvaiázere",10.52,5.86,32.81,49.19
1003,"1641003","Ansião",21.05,11.72,120.32,153.09
601,"1640601","Arganil",42.1,0,0,42.1
1007,"1641007","Castanheira de Pêra",5.26,0,0,5.26
1008,"1641008","Figueiró dos Vinhos",10.52,0,0,10.52
606,"1640606","Góis",5.26,0,5.47,10.73
607,"1640607","Lousã",15.79,0,16.41,32.2
609,"1640609","Miranda do Corvo",10.52,0,16.41,26.93
611,"1640611","Oliveira do Hospital",57.89,5.86,5.47,69.22
612,"1640612","Pampilhosa da Serra",0,0,0,0
1013,"1641013","Pedrógão Grande",0,0,0,0
614,"1640614","Penela",21.05,0,21.88,42.93
616,"1640616","Tábua",68.41,11.72,43.75,123.88
617,"1640617","Vila Nova de Poiares",10.52,0,5.47,15.99
901,"1650901","Aguiar da Beira",136.82,5.86,43.75,186.43
1802,"1651802","Carregal do Sal",36.84,5.86,5.47,48.17
1803,"1651803","Castro Daire",184.18,0,5.47,189.65
1806,"1651806","Mangualde",115.77,29.3,10.94,156.01
1808,"1651808","Mortágua",36.84,0,5.47,42.31
1809,"1651809","Nelas",57.89,11.72,10.94,80.55
1810,"1651810","Oliveira de Frades",136.82,0,0,136.82
1811,"1651811","Penalva do Castelo",94.72,17.58,10.94,123.24
1814,"1651814","Santa Comba Dão",52.62,5.86,21.88,80.36
1816,"1651816","São Pedro do Sul",236.81,5.86,32.81,275.48
1817,"1651817","Sátão",136.82,17.58,38.28,192.68
1821,"1651821","Tondela",236.81,5.86,38.28,280.95
1822,"1651822","Vila Nova de Paiva",21.05,0,0,21.05
1823,"1651823","Viseu",431.52,35.16,60.16,526.84
1824,"1651824","Vouzela",184.18,5.86,5.47,195.51
1413,"1661413","Mação",3.26,0,0,3.26
506,"1660506","Oleiros",3.26,0,0,3.26
508,"1660508","Proença-a-Nova",0,0,3.44,3.44
509,"1660509","Sertã",3.26,3.92,3.44,10.62
510,"1660510","Vila de Rei",0,0,3.44,3.44
905,"1670905","Fornos de Algodres",143.65,19.61,3.44,166.7
906,"1670906","Gouveia",39.18,3.92,6.88,49.98
912,"1670912","Seia",45.71,3.92,3.44,53.07
902,"1680902","Almeida",0,0,0,0
903,"1680903","Celorico da Beira",13.06,3.92,3.44,20.42
904,"1680904","Figueira de Castelo Rodrigo",3.26,3.92,3.44,10.62
907,"1680907","Guarda",75.09,27.45,6.88,109.42
908,"1680908","Manteigas",0,0,0,0
909,"1680909","Mêda",3.26,3.92,10.32,17.5
910,"1680910","Pinhel",19.59,27.45,17.2,64.24
911,"1680911","Sabugal",22.85,11.77,3.44,38.06
913,"1680913","Trancoso",13.06,7.84,13.76,34.66
502,"1690502","Castelo Branco",248.12,3.92,6.88,258.92
505,"1690505","Idanha-a-Nova",101.21,0,374.94,476.15
507,"1690507","Penamacor",52.24,3.92,0,56.16
511,"1690511","Vila Velha de Ródão",3.26,3.92,0,7.18
501,"16A0501","Belmonte",13.06,0,0,13.06
503,"16A0503","Covilhã",75.09,7.84,6.88,89.81
504,"16A0504","Fundão",101.21,7.84,3.44,112.49
1001,"16B1001","Alcobaça",112.73,0,107.02,219.75
1101,"16B1101","Alenquer",16.1,130.84,17.84,164.78
1102,"16B1102","Arruda dos Vinhos",8.05,40.26,17.84,66.15
1005,"16B1005","Bombarral",16.1,0,8.92,25.02
1104,"16B1104","Cadaval",8.05,0,17.84,25.89
1006,"16B1006","Caldas da Rainha",80.52,0,35.67,116.19
1108,"16B1108","Lourinhã",96.62,0,178.36,274.98
1011,"16B1011","Nazaré",24.16,0,0,24.16
1012,"16B1012","Óbidos",32.21,0,26.75,58.96
1014,"16B1014","Peniche",152.99,0,35.67,188.66
1112,"16B1112","Sobral de Monte Agraço",16.1,0,26.75,42.85
1113,"16B1113","Torres Vedras",112.73,50.32,142.69,305.74
1401,"16C1401","Abrantes",8.05,0,222.95,231
1402,"16C1402","Alcanena",0,0,8.92,8.92
1408,"16C1408","Constância",0,0,0,0
1410,"16C1410","Entroncamento",0,0,0,0
1411,"16C1411","Ferreira do Zêzere",0,0,0,0
1421,"16C1421","Ourém",16.1,10.06,62.43,88.59
1417,"16C1417","Sardoal",0,0,0,0
1418,"16C1418","Tomar",0,0,26.75,26.75
1419,"16C1419","Torres Novas",0,0,8.92,8.92
1420,"16C1420","Vila Nova da Barquinha",0,0,0,0
1115,"1711115","Amadora",0,0,0,0
1105,"1711105","Cascais",0,0,0,0
1106,"1711106","Lisboa",0,0,0,0
1107,"1711107","Loures",0,0,44.59,44.59
1109,"1711109","Mafra",177.14,20.13,151.61,348.88
1116,"1711116","Odivelas",0,0,0,0
1110,"1711110","Oeiras",0,0,0,0
1111,"1711111","Sintra",16.1,0,26.75,42.85
1114,"1711114","Vila Franca de Xira",8.05,110.71,321.05,439.81
1502,"1721502","Alcochete",0,0,53.51,53.51
1503,"1721503","Almada",8.05,0,26.75,34.8
1504,"1721504","Barreiro",0,0,0,0
1506,"1721506","Moita",0,0,0,0
1507,"1721507","Montijo",0,0,17.84,17.84
1508,"1721508","Palmela",0,0,62.43,62.43
1510,"1721510","Seixal",0,0,0,0
1511,"1721511","Sesimbra",0,0,0,0
1512,"1721512","Setúbal",0,0,0,0
1501,"1811501","Alcácer do Sal",0,3.95,616.47,620.42
1505,"1811505","Grândola",8.34,0,561.58,569.92
211,"1810211","Odemira",91.77,3.95,907.82,1003.54
1509,"1811509","Santiago do Cacém",8.34,19.75,544.69,572.78
1513,"1811513","Sines",8.34,0,92.89,101.23
1201,"1821201","Alter do Chão",0,55.29,0,55.29
1202,"1821202","Arronches",0,0,0,0
1203,"1821203","Avis",0,3.95,443.35,447.3
1204,"1821204","Campo Maior",0,39.49,308.24,347.73
1205,"1821205","Castelo de Vide",0,0,0,0
1206,"1821206","Crato",0,0,0,0
1207,"1821207","Elvas",0,15.8,717.81,733.61
1208,"1821208","Fronteira",0,0,147.78,147.78
1209,"1821209","Gavião",33.37,0,4.22,37.59
1210,"1821210","Marvão",0,0,0,0
1211,"1821211","Monforte",0,0,16.89,16.89
707,"1820707","Mora",0,11.85,257.57,269.42
1212,"1821212","Nisa",8.34,0,16.89,25.23
1213,"1821213","Ponte de Sor",8.34,63.19,168.9,240.43
1214,"1821214","Portalegre",0,0,0,0
701,"1830701","Alandroal",0,3.95,147.78,151.73
702,"1830702","Arraiolos",0,0,147.78,147.78
703,"1830703","Borba",0,0,25.33,25.33
704,"1830704","Estremoz",8.34,90.84,173.12,272.3
705,"1830705","Évora",0,165.87,12.67,178.54
706,"1830706","Montemor-o-Novo",0,0,97.12,97.12
708,"1830708","Mourão",0,0,63.34,63.34
709,"1830709","Portel",0,0,0,0
710,"1830710","Redondo",0,78.99,25.33,104.32
711,"1830711","Reguengos de Monsaraz",0,7.9,76,83.9
1215,"1831215","Sousel",0,410.74,8.44,419.18
712,"1830712","Vendas Novas",0,0,8.44,8.44
713,"1830713","Viana do Alentejo",0,0,97.12,97.12
714,"1830714","Vila Viçosa",0,0,0,0
201,"1840201","Aljustrel",0,51.34,1418.73,1470.07
202,"1840202","Almodôvar",0,59.24,705.14,764.38
203,"1840203","Alvito",0,0,84.45,84.45
204,"1840204","Barrancos",0,0,0,0
205,"1840205","Beja",0,264.61,3090.8,3355.41
206,"1840206","Castro Verde",0,102.68,299.79,402.47
207,"1840207","Cuba",0,0,25.33,25.33
208,"1840208","Ferreira do Alentejo",0,363.34,1562.29,1925.63
209,"1840209","Mértola",0,0,2351.88,2351.88
210,"1840210","Moura",0,59.24,261.79,321.03
212,"1840212","Ourique",0,0,886.7,886.7
213,"1840213","Serpa",0,71.09,3137.24,3208.33
214,"1840214","Vidigueira",0,0,63.34,63.34
1403,"1851403","Almeirim",0,0,0,0
1404,"1851404","Alpiarça",0,0,89.18,89.18
1103,"1851103","Azambuja",8.05,0,17.84,25.89
1405,"1851405","Benavente",0,0,0,0
1406,"1851406","Cartaxo",0,10.06,0,10.06
1407,"1851407","Chamusca",0,0,0,0
1409,"1851409","Coruche",0,0,44.59,44.59
1412,"1851412","Golegã",0,0,0,0
1414,"1851414","Rio Maior",8.05,0,8.92,16.97
1415,"1851415","Salvaterra de Magos",0,0,392.39,392.39
1416,"1851416","Santarém",0,140.9,160.52,301.42
801,"1500801","Albufeira",0,0,5.29,5.29
802,"1500802","Alcoutim",0,0,26.44,26.44
803,"1500803","Aljezur",35.42,5.39,21.15,61.96
804,"1500804","Castro Marim",0,0,5.29,5.29
805,"1500805","Faro",0,0,5.29,5.29
806,"1500806","Lagoa",0,0,0,0
807,"1500807","Lagos",0,5.39,10.57,15.96
808,"1500808","Loulé",0,0,0,0
809,"1500809","Monchique",5.06,0,0,5.06
810,"1500810","Olhão",0,0,0,0
811,"1500811","Portimão",0,0,5.29,5.29
812,"1500812","São Brás de Alportel",0,0,0,0
813,"1500813","Silves",5.06,10.77,21.15,36.98
814,"1500814","Tavira",0,0,37.01,37.01
815,"1500815","Vila do Bispo",0,5.39,5.29,10.68
816,"1500816","Vila Real de Santo António",0,5.39,10.57,15.96
