"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip","sum"
"1",1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0
"2",1602,"1111602","Caminha",0,0,0,0,0,0,0
"3",1603,"1111603","Melgaço",0,0,0,0,0,0,0
"4",1604,"1111604","Monção",0,0,0,0,0,0,0
"5",1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0
"6",1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0
"7",1607,"1111607","Ponte de Lima",0,0,0,0,0,0,0
"8",1608,"1111608","Valença",0,0,0,0,0,0,0
"9",1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0
"10",1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0
"11",301,"1120301","Amares",0,0,0,0,0,0,0
"12",302,"1120302","Barcelos",0,0,0,0,0,0,0
"13",303,"1120303","Braga",0,0,3,0,0,0,3
"14",306,"1120306","Esposende",0,0,0,0,0,0,0
"15",310,"1120310","Terras de Bouro",0,0,0,0,0,0,0
"16",313,"1120313","Vila Verde",0,0,0,0,0,0,0
"17",307,"1130307","Fafe",0,0,0,0,0,0,0
"18",308,"1130308","Guimarães",0,0,10,0,0,0,10
"19",309,"1130309","Póvoa de Lanhoso",0,0,2,0,0,0,2
"20",311,"1130311","Vieira do Minho",0,0,2,0,0,0,2
"21",312,"1130312","Vila Nova de Famalicão",0,0,0,0,0,0,0
"22",314,"1130314","Vizela",0,0,0,0,0,0,0
"23",1314,"1131314","Santo Tirso",0,0,0,0,0,0,0
"24",1318,"1131318","Trofa",0,0,0,0,0,0,0
"25",107,"1140107","Espinho",0,0,0,0,0,0,0
"26",1304,"1141304","Gondomar",0,0,0,0,0,0,0
"27",1306,"1141306","Maia",0,0,0,0,0,0,0
"28",1308,"1141308","Matosinhos",0,0,0,0,0,0,0
"29",1312,"1141312","Porto",0,0,0,0,0,0,0
"30",1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,0
"31",1315,"1141315","Valongo",0,0,1,0,0,0,1
"32",1316,"1141316","Vila do Conde",0,0,0,0,0,0,0
"33",1317,"1141317","Vila Nova de Gaia",0,0,2,0,0,0,2
"34",106,"1150106","Castelo de Paiva",0,0,2,0,0,0,2
"35",304,"1150304","Cabeceiras de Basto",0,0,0,0,0,0,0
"36",305,"1150305","Celorico de Basto",0,0,2,0,0,0,2
"37",1301,"1151301","Amarante",0,0,0,0,0,0,0
"38",1302,"1151302","Baião",0,0,0,0,0,0,0
"39",1303,"1151303","Felgueiras",0,0,2,0,0,0,2
"40",1305,"1151305","Lousada",0,0,0,0,0,0,0
"41",1307,"1151307","Marco de Canaveses",0,0,0,0,0,0,0
"42",1309,"1151309","Paços de Ferreira",0,0,0,0,0,0,0
"43",1310,"1151310","Paredes",0,0,0,0,0,0,0
"44",1311,"1151311","Penafiel",0,0,4,0,0,0,4
"45",1705,"1151705","Mondim de Basto",0,0,0,0,0,0,0
"46",1709,"1151709","Ribeira de Pena",0,0,2,0,0,0,2
"47",1804,"1151804","Cinfães",0,0,2,0,0,0,2
"48",1813,"1151813","Resende",0,0,15,0,0,0,15
"49",104,"1160104","Arouca",0,0,0,0,0,0,0
"50",109,"1160109","Santa Maria da Feira",0,0,0,0,0,0,0
"51",113,"1160113","Oliveira de Azeméis",0,0,0,0,0,0,0
"52",116,"1160116","São João da Madeira",0,0,0,0,0,0,0
"53",119,"1160119","Vale de Cambra",0,0,9,0,0,0,9
"54",403,"1170403","Carrazeda de Ansiães",0,0,0,0,0,0,0
"55",404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0,0,0
"56",409,"1170409","Torre de Moncorvo",0,0,1,0,0,0,1
"57",410,"1170410","Vila Flor",0,0,0,0,0,0,0
"58",914,"1170914","Vila Nova de Foz Côa",0,0,0,0,0,0,0
"59",1701,"1171701","Alijó",0,0,3,0,0,0,3
"60",1704,"1171704","Mesão Frio",0,0,0,0,0,0,0
"61",1708,"1171708","Peso da Régua",0,0,0,0,0,0,0
"62",1710,"1171710","Sabrosa",0,0,0,0,0,0,0
"63",1711,"1171711","Santa Marta de Penaguião",0,0,0,0,0,0,0
"64",1714,"1171714","Vila Real",0,0,14,0,0,0,14
"65",1801,"1171801","Armamar",0,0,0,0,0,0,0
"66",1805,"1171805","Lamego",0,0,0,0,0,0,0
"67",1807,"1171807","Moimenta da Beira",0,0,0,0,0,0,0
"68",1812,"1171812","Penedono",0,0,0,0,0,0,0
"69",1815,"1171815","São João da Pesqueira",0,0,0,0,0,0,0
"70",1818,"1171818","Sernancelhe",0,0,0,0,0,0,0
"71",1819,"1171819","Tabuaço",0,0,1,0,0,0,1
"72",1820,"1171820","Tarouca",0,0,3,0,0,0,3
"73",401,"1180401","Alfândega da Fé",0,0,0,0,0,0,0
"74",402,"1180402","Bragança",0,0,0,0,0,0,0
"75",405,"1180405","Macedo de Cavaleiros",0,0,0,0,0,0,0
"76",406,"1180406","Miranda do Douro",0,0,0,0,0,0,0
"77",407,"1180407","Mirandela",0,0,2,0,0,0,2
"78",408,"1180408","Mogadouro",0,0,0,0,0,0,0
"79",411,"1180411","Vimioso",0,0,0,0,0,0,0
"80",412,"1180412","Vinhais",0,0,0,0,0,0,0
"81",1702,"1181702","Boticas",0,0,0,0,0,0,0
"82",1703,"1181703","Chaves",0,0,0,0,0,0,0
"83",1706,"1181706","Montalegre",0,0,0,0,0,0,0
"84",1707,"1181707","Murça",0,0,0,0,0,0,0
"85",1712,"1181712","Valpaços",0,0,34,0,0,0,34
"86",1713,"1181713","Vila Pouca de Aguiar",0,0,18,0,0,0,18
"87",801,"1500801","Albufeira",0,0,0,0,0,0,0
"88",802,"1500802","Alcoutim",0,0,0,0,0,0,0
"89",803,"1500803","Aljezur",0,0,0,0,0,0,0
"90",804,"1500804","Castro Marim",0,0,0,0,0,0,0
"91",805,"1500805","Faro",0,0,0,0,0,0,0
"92",806,"1500806","Lagoa",0,0,0,0,0,0,0
"93",807,"1500807","Lagos",0,0,0,0,0,0,0
"94",808,"1500808","Loulé",0,0,0,0,0,0,0
"95",809,"1500809","Monchique",0,0,0,0,0,0,0
"96",810,"1500810","Olhão",0,0,0,0,0,0,0
"97",811,"1500811","Portimão",0,0,0,0,0,0,0
"98",812,"1500812","São Brás de Alportel",0,0,0,0,0,0,0
"99",813,"1500813","Silves",0,0,0,0,0,0,0
"100",814,"1500814","Tavira",0,0,0,0,0,0,0
"101",815,"1500815","Vila do Bispo",0,0,0,0,0,0,0
"102",816,"1500816","Vila Real de Santo António",0,0,0,0,0,0,0
"103",101,"1610101","Águeda",0,0,0,0,0,0,0
"104",102,"1610102","Albergaria-a-Velha",0,0,0,0,0,0,0
"105",103,"1610103","Anadia",0,0,0,0,0,0,0
"106",105,"1610105","Aveiro",0,0,0,0,0,0,0
"107",108,"1610108","Estarreja",0,0,0,0,0,0,0
"108",110,"1610110","Ílhavo",0,0,0,0,0,0,0
"109",111,"1610111","Mealhada",0,0,0,0,0,0,0
"110",112,"1610112","Murtosa",0,0,0,0,0,0,0
"111",114,"1610114","Oliveira do Bairro",0,0,0,0,0,0,0
"112",115,"1610115","Ovar",0,0,0,0,0,0,0
"113",117,"1610117","Sever do Vouga",0,0,0,0,0,0,0
"114",118,"1610118","Vagos",0,0,3,0,0,0,3
"115",602,"1620602","Cantanhede",0,0,0,0,0,0,0
"116",603,"1620603","Coimbra",0,0,0,0,0,0,0
"117",604,"1620604","Condeixa-a-Nova",0,0,0,0,0,0,0
"118",605,"1620605","Figueira da Foz",0,0,0,0,0,0,0
"119",608,"1620608","Mira",0,0,0,0,0,0,0
"120",610,"1620610","Montemor-o-Velho",0,0,0,0,0,0,0
"121",613,"1620613","Penacova",0,0,0,0,0,0,0
"122",615,"1620615","Soure",0,0,0,0,0,0,0
"123",1004,"1631004","Batalha",0,0,0,0,0,0,0
"124",1009,"1631009","Leiria",0,0,0,0,0,0,0
"125",1010,"1631010","Marinha Grande",0,0,0,0,0,0,0
"126",1015,"1631015","Pombal",0,0,0,0,0,0,0
"127",1016,"1631016","Porto de Mós",0,0,0,0,0,0,0
"128",601,"1640601","Arganil",0,0,0,0,0,0,0
"129",606,"1640606","Góis",0,0,0,0,0,0,0
"130",607,"1640607","Lousã",0,0,0,0,0,0,0
"131",609,"1640609","Miranda do Corvo",0,0,0,0,0,0,0
"132",611,"1640611","Oliveira do Hospital",0,0,2,0,0,0,2
"133",612,"1640612","Pampilhosa da Serra",0,0,0,0,0,0,0
"134",614,"1640614","Penela",0,0,0,0,0,0,0
"135",616,"1640616","Tábua",0,0,1,0,0,0,1
"136",617,"1640617","Vila Nova de Poiares",0,0,2,0,0,0,2
"137",1002,"1641002","Alvaiázere",0,0,0,0,0,0,0
"138",1003,"1641003","Ansião",0,0,0,0,0,0,0
"139",1007,"1641007","Castanheira de Pêra",0,0,0,0,0,0,0
"140",1008,"1641008","Figueiró dos Vinhos",0,0,0,0,0,0,0
"141",1013,"1641013","Pedrógão Grande",0,0,0,0,0,0,0
"142",901,"1650901","Aguiar da Beira",0,0,0,0,0,0,0
"143",1802,"1651802","Carregal do Sal",0,0,0,0,0,0,0
"144",1803,"1651803","Castro Daire",0,0,43,0,0,0,43
"145",1806,"1651806","Mangualde",0,0,7,0,0,0,7
"146",1808,"1651808","Mortágua",0,0,0,0,0,0,0
"147",1809,"1651809","Nelas",0,0,0,0,0,0,0
"148",1810,"1651810","Oliveira de Frades",0,0,1,0,0,0,1
"149",1811,"1651811","Penalva do Castelo",0,0,5,0,0,0,5
"150",1814,"1651814","Santa Comba Dão",0,0,0,0,0,0,0
"151",1816,"1651816","São Pedro do Sul",0,0,10,0,0,0,10
"152",1817,"1651817","Sátão",0,0,2,0,0,0,2
"153",1821,"1651821","Tondela",0,0,2,0,0,0,2
"154",1822,"1651822","Vila Nova de Paiva",0,0,2,0,0,0,2
"155",1823,"1651823","Viseu",0,0,2,0,0,0,2
"156",1824,"1651824","Vouzela",0,0,2,0,0,0,2
"157",506,"1660506","Oleiros",0,0,0,0,0,0,0
"158",508,"1660508","Proença-a-Nova",0,0,0,0,0,0,0
"159",509,"1660509","Sertã",0,0,0,0,0,0,0
"160",510,"1660510","Vila de Rei",0,0,0,0,0,0,0
"161",1413,"1661413","Mação",0,0,0,0,0,0,0
"162",905,"1670905","Fornos de Algodres",0,0,0,0,0,0,0
"163",906,"1670906","Gouveia",0,0,5,0,0,0,5
"164",912,"1670912","Seia",0,0,4,0,0,0,4
"165",902,"1680902","Almeida",0,0,0,0,0,0,0
"166",903,"1680903","Celorico da Beira",0,0,15,0,0,0,15
"167",904,"1680904","Figueira de Castelo Rodrigo",0,0,0,0,0,0,0
"168",907,"1680907","Guarda",0,0,4,0,0,0,4
"169",908,"1680908","Manteigas",0,0,0,0,0,0,0
"170",909,"1680909","Meda",0,0,0,0,0,0,0
"171",910,"1680910","Pinhel",0,0,6,0,0,0,6
"172",911,"1680911","Sabugal",0,0,5,0,0,0,5
"173",913,"1680913","Trancoso",0,0,1,0,0,0,1
"174",502,"1690502","Castelo Branco",0,0,0,0,0,0,0
"175",505,"1690505","Idanha-a-Nova",0,0,0,0,18,0,18
"176",507,"1690507","Penamacor",0,0,0,0,0,0,0
"177",511,"1690511","Vila Velha de Ródão",0,0,0,0,0,0,0
"178",1105,"1711105","Cascais",0,0,0,0,0,0,0
"179",1106,"1711106","Lisboa",0,0,0,0,0,0,0
"180",1107,"1711107","Loures",0,0,0,3,0,0,3
"181",1109,"1711109","Mafra",0,0,0,0,0,0,0
"182",1110,"1711110","Oeiras",0,0,0,0,0,0,0
"183",1111,"1711111","Sintra",0,0,0,0,0,0,0
"184",1114,"1711114","Vila Franca de Xira",0,0,0,0,0,0,0
"185",1115,"1711115","Amadora",0,0,0,0,0,0,0
"186",1116,"1711116","Odivelas",0,0,0,0,0,0,0
"187",1502,"1721502","Alcochete",0,0,0,0,0,0,0
"188",1503,"1721503","Almada",0,0,0,0,0,0,0
"189",1504,"1721504","Barreiro",0,0,0,0,0,0,0
"190",1506,"1721506","Moita",0,0,0,0,0,0,0
"191",1507,"1721507","Montijo",0,0,0,0,0,0,0
"192",1508,"1721508","Palmela",0,0,0,0,0,0,0
"193",1510,"1721510","Seixal",0,0,0,0,0,0,0
"194",1511,"1721511","Sesimbra",0,0,0,0,0,0,0
"195",1512,"1721512","Setúbal",0,0,0,0,0,0,0
"196",211,"1810211","Odemira",0,0,0,0,0,0,0
"197",1501,"1811501","Alcácer do Sal",0,0,0,0,0,0,0
"198",1505,"1811505","Grândola",0,0,0,0,0,0,0
"199",1509,"1811509","Santiago do Cacém",0,0,0,0,0,0,0
"200",1513,"1811513","Sines",0,0,0,0,0,0,0
"201",707,"1820707","Mora",0,0,0,0,0,0,0
"202",1201,"1821201","Alter do Chão",0,0,0,0,0,0,0
"203",1202,"1821202","Arronches",0,0,0,0,0,0,0
"204",1203,"1821203","Avis",0,0,0,0,0,0,0
"205",1204,"1821204","Campo Maior",0,0,0,0,0,0,0
"206",1205,"1821205","Castelo de Vide",0,0,0,0,0,0,0
"207",1206,"1821206","Crato",0,0,0,0,0,0,0
"208",1207,"1821207","Elvas",0,0,0,0,0,0,0
"209",1208,"1821208","Fronteira",0,0,0,0,0,0,0
"210",1209,"1821209","Gavião",0,0,8,0,0,0,8
"211",1210,"1821210","Marvão",0,0,4,0,0,0,4
"212",1211,"1821211","Monforte",0,0,0,0,0,0,0
"213",1212,"1821212","Nisa",0,0,0,0,0,0,0
"214",1213,"1821213","Ponte de Sor",0,0,0,0,0,0,0
"215",1214,"1821214","Portalegre",0,0,0,0,0,0,0
"216",701,"1830701","Alandroal",0,0,0,0,0,0,0
"217",702,"1830702","Arraiolos",0,0,0,0,0,0,0
"218",703,"1830703","Borba",0,0,0,0,0,0,0
"219",704,"1830704","Estremoz",0,0,0,0,0,0,0
"220",705,"1830705","Évora",0,0,3,0,0,0,3
"221",706,"1830706","Montemor-o-Novo",0,0,0,0,0,0,0
"222",708,"1830708","Mourão",0,0,0,0,0,0,0
"223",709,"1830709","Portel",0,0,0,0,0,0,0
"224",710,"1830710","Redondo",0,0,0,0,0,0,0
"225",711,"1830711","Reguengos de Monsaraz",0,0,0,0,0,0,0
"226",712,"1830712","Vendas Novas",0,0,0,0,0,0,0
"227",713,"1830713","Viana do Alentejo",0,0,0,0,0,0,0
"228",714,"1830714","Vila Viçosa",0,0,0,0,0,0,0
"229",1215,"1831215","Sousel",0,0,0,0,0,0,0
"230",201,"1840201","Aljustrel",0,0,0,0,0,0,0
"231",202,"1840202","Almodôvar",0,0,0,0,0,0,0
"232",203,"1840203","Alvito",0,0,0,0,0,0,0
"233",204,"1840204","Barrancos",0,0,0,0,0,0,0
"234",205,"1840205","Beja",0,0,0,0,0,0,0
"235",206,"1840206","Castro Verde",0,0,0,0,0,0,0
"236",207,"1840207","Cuba",0,0,0,0,0,0,0
"237",208,"1840208","Ferreira do Alentejo",0,0,0,0,0,0,0
"238",209,"1840209","Mértola",0,0,0,0,0,0,0
"239",210,"1840210","Moura",0,0,0,0,0,0,0
"240",212,"1840212","Ourique",0,0,0,0,0,0,0
"241",213,"1840213","Serpa",0,0,0,0,0,0,0
"242",214,"1840214","Vidigueira",0,0,0,0,0,0,0
"243",1103,"1851103","Azambuja",0,0,0,0,0,0,0
"244",1403,"1851403","Almeirim",0,0,0,0,0,0,0
"245",1404,"1851404","Alpiarça",0,0,0,0,0,0,0
"246",1405,"1851405","Benavente",0,0,0,0,0,0,0
"247",1406,"1851406","Cartaxo",0,0,10,0,0,0,10
"248",1407,"1851407","Chamusca",0,0,0,0,0,0,0
"249",1409,"1851409","Coruche",0,0,0,0,0,0,0
"250",1412,"1851412","Golegã",0,0,0,0,0,0,0
"251",1414,"1851414","Rio Maior",0,0,0,0,0,0,0
"252",1415,"1851415","Salvaterra de Magos",0,0,0,0,0,0,0
"253",1416,"1851416","Santarém",0,0,0,0,38,0,38
"254",501,"16A0501","Belmonte",0,0,2,2,0,0,4
"255",503,"16A0503","Covilhã",0,0,5,0,15,0,20
"256",504,"16A0504","Fundão",0,0,1,0,0,0,1
"257",1001,"16B1001","Alcobaça",0,0,0,0,0,0,0
"258",1005,"16B1005","Bombarral",0,0,0,0,0,0,0
"259",1006,"16B1006","Caldas da Rainha",0,0,0,0,0,0,0
"260",1011,"16B1011","Nazaré",0,0,0,0,0,0,0
"261",1012,"16B1012","Óbidos",0,0,0,0,0,0,0
"262",1014,"16B1014","Peniche",0,0,0,0,0,0,0
"263",1101,"16B1101","Alenquer",0,0,0,0,0,0,0
"264",1102,"16B1102","Arruda dos Vinhos",0,0,0,0,0,0,0
"265",1104,"16B1104","Cadaval",0,0,0,0,0,0,0
"266",1108,"16B1108","Lourinhã",0,0,0,0,0,0,0
"267",1112,"16B1112","Sobral de Monte Agraço",0,0,0,0,0,0,0
"268",1113,"16B1113","Torres Vedras",0,0,0,0,0,0,0
"269",1401,"16C1401","Abrantes",0,0,0,0,0,0,0
"270",1402,"16C1402","Alcanena",0,0,0,0,0,0,0
"271",1408,"16C1408","Constância",0,0,0,0,0,0,0
"272",1410,"16C1410","Entroncamento",0,0,0,0,0,0,0
"273",1411,"16C1411","Ferreira do Zêzere",0,0,0,0,0,0,0
"274",1417,"16C1417","Sardoal",0,0,0,0,0,0,0
"275",1418,"16C1418","Tomar",0,0,0,0,0,0,0
"276",1419,"16C1419","Torres Novas",0,0,0,0,0,0,0
"277",1420,"16C1420","Vila Nova da Barquinha",0,0,0,0,0,0,0
"278",1421,"16C1421","Ourém",0,0,0,0,0,0,0
